diabetes_tabfairgan_50_02,diabetes_tabfairgan_50_04,diabetes_tabfairgan_50_06,diabetes_tabfairgan_50_08,diabetes_tabfairgan_50_1,diabetes_tabfairgan_50_15,diabetes_tabfairgan_50_2,diabetes_tabfairgan_50_5,diabetes_tabfairgan_100_02,diabetes_tabfairgan_100_04,diabetes_tabfairgan_100_06,diabetes_tabfairgan_100_08,diabetes_tabfairgan_100_1,diabetes_tabfairgan_100_15,diabetes_tabfairgan_100_2,diabetes_tabfairgan_100_5,diabetes_tabfairgan_150_02,diabetes_tabfairgan_150_04,diabetes_tabfairgan_150_06,diabetes_tabfairgan_150_08,diabetes_tabfairgan_150_1,diabetes_tabfairgan_150_15,diabetes_tabfairgan_150_2,diabetes_tabfairgan_150_5,diabetes_tabfairgan_200_02,diabetes_tabfairgan_200_04,diabetes_tabfairgan_200_06,diabetes_tabfairgan_200_08,diabetes_tabfairgan_200_1,diabetes_tabfairgan_200_15,diabetes_tabfairgan_200_2,diabetes_tabfairgan_200_5,diabetes_tabfairgan_250_02,diabetes_tabfairgan_250_04,diabetes_tabfairgan_250_06,diabetes_tabfairgan_250_08,diabetes_tabfairgan_250_1,diabetes_tabfairgan_250_15,diabetes_tabfairgan_250_2,diabetes_tabfairgan_250_5,diabetes_tabfairgan_300_02,diabetes_tabfairgan_300_04,diabetes_tabfairgan_300_06,diabetes_tabfairgan_300_08,diabetes_tabfairgan_300_1,diabetes_tabfairgan_300_15,diabetes_tabfairgan_300_2,diabetes_tabfairgan_300_5,diabetes_distcorrgan_50_02,diabetes_distcorrgan_50_04,diabetes_distcorrgan_50_06,diabetes_distcorrgan_50_08,diabetes_distcorrgan_50_1,diabetes_distcorrgan_50_15,diabetes_distcorrgan_50_2,diabetes_distcorrgan_50_5,diabetes_distcorrgan_100_02,diabetes_distcorrgan_100_04,diabetes_distcorrgan_100_06,diabetes_distcorrgan_100_08,diabetes_distcorrgan_100_1,diabetes_distcorrgan_100_15,diabetes_distcorrgan_100_2,diabetes_distcorrgan_100_5,diabetes_distcorrgan_150_02,diabetes_distcorrgan_150_04,diabetes_distcorrgan_150_06,diabetes_distcorrgan_150_08,diabetes_distcorrgan_150_1,diabetes_distcorrgan_150_15,diabetes_distcorrgan_150_2,diabetes_distcorrgan_150_5,diabetes_distcorrgan_200_02,diabetes_distcorrgan_200_04,diabetes_distcorrgan_200_06,diabetes_distcorrgan_200_08,diabetes_distcorrgan_200_1,diabetes_distcorrgan_200_15,diabetes_distcorrgan_200_2,diabetes_distcorrgan_200_5,diabetes_distcorrgan_250_02,diabetes_distcorrgan_250_04,diabetes_distcorrgan_250_06,diabetes_distcorrgan_250_08,diabetes_distcorrgan_250_1,diabetes_distcorrgan_250_15,diabetes_distcorrgan_250_2,diabetes_distcorrgan_250_5,diabetes_distcorrgan_300_02,diabetes_distcorrgan_300_04,diabetes_distcorrgan_300_06,diabetes_distcorrgan_300_08,diabetes_distcorrgan_300_1,diabetes_distcorrgan_300_15,diabetes_distcorrgan_300_2,diabetes_distcorrgan_300_5,diabetes_multifairgan_50_02,diabetes_multifairgan_50_04,diabetes_multifairgan_50_06,diabetes_multifairgan_50_08,diabetes_multifairgan_50_1,diabetes_multifairgan_50_15,diabetes_multifairgan_50_2,diabetes_multifairgan_50_5,diabetes_multifairgan_100_02,diabetes_multifairgan_100_04,diabetes_multifairgan_100_06,diabetes_multifairgan_100_08,diabetes_multifairgan_100_1,diabetes_multifairgan_100_15,diabetes_multifairgan_100_2,diabetes_multifairgan_100_5,diabetes_multifairgan_150_02,diabetes_multifairgan_150_04,diabetes_multifairgan_150_06,diabetes_multifairgan_150_08,diabetes_multifairgan_150_1,diabetes_multifairgan_150_15,diabetes_multifairgan_150_2,diabetes_multifairgan_150_5,diabetes_multifairgan_200_02,diabetes_multifairgan_200_04,diabetes_multifairgan_200_06,diabetes_multifairgan_200_08,diabetes_multifairgan_200_1,diabetes_multifairgan_200_15,diabetes_multifairgan_200_2,diabetes_multifairgan_200_5,diabetes_multifairgan_250_02,diabetes_multifairgan_250_04,diabetes_multifairgan_250_06,diabetes_multifairgan_250_08,diabetes_multifairgan_250_1,diabetes_multifairgan_250_15,diabetes_multifairgan_250_2,diabetes_multifairgan_250_5,diabetes_multifairgan_300_02,diabetes_multifairgan_300_04,diabetes_multifairgan_300_06,diabetes_multifairgan_300_08,diabetes_multifairgan_300_1,diabetes_multifairgan_300_15,diabetes_multifairgan_300_2,diabetes_multifairgan_300_5,diabetes_decaf_100,diabetes_decaf_200,diabetes_decaf_250,diabetes_decaf_300,diabetes_ctgan_50,diabetes_ctgan_100,diabetes_ctgan_150,diabetes_ctgan_200,diabetes_ctgan_250,diabetes_ctgan_300
-0.0837,0.1159,0.029,-0.0239,-0.0791,0.0104,-0.0995,0.0214,0.0101,0.0001,0.0383,0.057,-0.0487,-0.0877,0.017,-0.018,-0.0369,-0.0393,-0.0043,-0.0274,0.0288,0.0279,0.0253,-0.039,-0.0802,-0.0491,-0.0305,0.0662,0.0314,-0.0343,0.0123,-0.0099,0.03,0.006,-0.0165,-0.1824,-0.1053,-0.0148,-0.0267,0.1056,0.0371,0.1168,0.1061,-0.1397,-0.1295,0.155,-0.1462,-0.1229,-0.0179,0.0514,-0.025,0.0319,0.0097,-0.0234,-0.011,0.0167,0.0009,0.0387,0.044,-0.0175,0.0157,-0.0368,0.0163,-0.0309,-0.0148,-0.0319,0.064,-0.0605,0.0172,-0.0463,-0.0315,-0.0087,-0.0417,-0.0213,0.0455,0.0871,0.0687,0.0243,0.0835,0.0274,0.1147,-0.0,0.037,0.036,0.0932,0.0386,0.0659,-0.0295,0.0381,0.0387,0.1662,-0.0096,0.0484,0.0064,0.0026,-0.0071,0.0208,0.0032,0.0577,0.0977,0.0033,0.0151,-0.0001,0.0239,-0.0276,-0.0471,0.0095,0.0179,0.0107,-0.0214,0.0148,0.0521,0.0308,0.0473,0.0383,0.0976,-0.0155,0.0015,-0.0293,0.0583,0.0651,0.0788,0.0303,0.0028,-0.014,-0.0226,0.0412,0.0333,0.0166,-0.0109,0.1065,0.0093,-0.0464,0.0593,0.0132,0.0479,0.1263,-0.0946,0.0591,0.0045,0.0048,0.0569,-0.0064,-0.0954,0.083,0.0126,0.0262,0.005,0.0292,-0.0706,-0.0169,-0.0317,-0.029,0.053
-0.0748,0.1066,0.0242,-0.025,-0.0897,0.0192,-0.0837,0.0223,0.0161,0.0044,0.0347,0.0596,-0.0496,-0.0979,0.0042,-0.0131,-0.036,-0.0355,-0.0143,-0.0127,0.0282,0.0314,0.0303,-0.041,-0.0826,-0.0429,-0.0252,0.0689,0.028,-0.0306,0.0004,-0.0044,0.0392,0.0031,-0.0046,-0.1739,-0.095,-0.0109,-0.0231,0.104,0.0377,0.1158,0.1055,-0.1386,-0.1265,0.1577,-0.1361,-0.1139,-0.0139,0.0445,-0.0161,0.0439,-0.0023,-0.0179,-0.0145,0.0261,-0.0055,0.0389,0.0447,-0.0078,0.033,-0.0124,0.0213,-0.0369,-0.0196,-0.0341,0.0595,-0.0614,0.0126,-0.0413,-0.0309,-0.0149,-0.0466,-0.023,0.0413,0.0854,0.0618,0.0174,0.0903,0.0163,0.1332,0.0088,0.0311,0.0413,0.0902,0.0368,0.0682,-0.0321,0.0369,0.0367,0.1625,-0.0143,0.0439,0.0061,0.0007,-0.0115,0.0208,0.0032,0.0577,0.0977,0.0033,0.0151,-0.0001,0.0239,-0.0276,-0.0471,0.0095,0.0179,0.0107,-0.0214,0.0148,0.0521,0.0308,0.0473,0.0383,0.0976,-0.0155,0.0015,-0.0293,0.0583,0.0651,0.0788,0.0303,0.0028,-0.014,-0.0226,0.0412,0.0333,0.0166,-0.0109,0.1065,0.0093,-0.0464,0.0593,0.0132,0.0479,0.1263,-0.0946,0.0591,0.0045,0.0048,0.0569,-0.0064,-0.0954,0.083,0.0126,0.0262,0.005,0.0288,-0.0706,-0.0169,-0.0317,-0.03,0.0526
0.8651,1.2011,1.0461,0.9539,0.8376,1.0364,0.8532,1.0417,1.0291,1.0081,1.0616,1.1006,0.9203,0.8355,1.0074,0.9768,0.9371,0.9432,0.975,0.9775,1.0477,1.0545,1.0532,0.9284,0.8648,0.9236,0.9588,1.1126,1.0476,0.9499,1.0006,0.9932,1.0647,1.0052,0.992,0.7212,0.8386,0.9828,0.9581,1.1547,1.0603,1.2022,1.1771,0.7731,0.7879,1.2565,0.7742,0.8213,0.9719,1.0894,0.9682,1.0901,0.9955,0.9644,0.9718,1.051,0.9899,1.0751,1.085,0.9855,1.0641,0.9755,1.0435,0.9271,0.9663,0.9401,1.1018,0.9013,1.0207,0.9212,0.9452,0.9709,0.9159,0.9544,1.0757,1.1572,1.1119,1.0347,1.1648,1.0281,1.2766,1.0161,1.0569,1.0787,1.1681,1.0693,1.1157,0.9451,1.07,1.0661,1.3328,0.9727,1.086,1.0114,1.0013,0.979,1.0437,1.0064,1.1091,1.1963,1.0068,1.0315,0.9998,1.0483,0.9508,0.9148,1.0161,1.0327,1.0196,0.9594,1.0261,1.0956,1.0518,1.0783,1.0691,1.1714,0.9759,1.0023,0.9541,1.0977,1.1074,1.1301,1.0498,1.0043,0.9778,0.9632,1.0658,1.0528,1.0264,0.9833,1.1721,1.015,0.9283,1.0985,1.0205,1.0804,1.2098,0.8428,1.0982,1.0078,1.0079,1.0999,0.9889,0.8411,1.1395,1.0241,1.0503,1.0102,1.0523,0.875,0.9709,0.9443,0.9553,1.0927
1.2697,2.44,1.5466,1.579,1.714,2.1387,2.2265,1.6483,1.4885,1.1102,1.861,1.3569,1.0744,0.9444,1.4223,0.9836,1.603,0.6495,1.004,0.9763,0.7308,1.0455,0.7603,1.3665,1.4156,0.8635,0.748,1.1016,0.7865,0.6803,0.5669,0.2872,1.7783,0.9415,0.5823,0.5359,0.5019,0.374,0.5801,0.498,2.0186,0.6971,0.5822,0.3574,0.3373,0.4064,0.3199,0.1571,1.3639,1.8126,1.3165,1.0513,1.1496,1.2925,1.1493,0.9306,2.278,3.1268,3.0102,1.7913,1.3802,1.4737,1.1324,1.0566,10.0601,12.3814,5.9003,5.0882,5.7627,1.7201,4.3309,1.0868,10.2723,14.227,11.8652,10.7956,14.4694,12.2358,9.5716,9.465,16.8079,14.7065,10.2637,15.8301,15.5238,13.6618,8.0911,0.0867,22.3461,15.9147,18.6488,25.3137,11.0776,12.4625,15.695,20.77,1.0169,1.1968,1.6821,1.6629,0.9702,1.0757,0.9962,0.9898,2.5476,2.4818,2.0715,1.8464,2.1902,1.4058,2.3604,2.3862,4.4916,4.2821,5.3032,5.1337,3.767,3.1675,3.2463,4.765,3.1441,3.8042,2.4166,3.2875,2.1458,4.4657,2.7816,2.7671,2.4657,2.3378,1.8627,1.3561,0.8979,1.7211,1.3864,3.2822,1.0454,1.0111,1.2412,0.7611,1.6791,1.4668,1.0645,1.9941,1.2714,1.0757,0.9747,1.1222,1.424,1.8023,2.3363,3.526,1.9956,1.5899
-0.0893,0.3322,0.1049,0.078,0.1056,0.1456,0.1328,0.116,0.0841,0.018,0.1752,0.1393,-0.0711,-0.1769,0.0466,-0.0261,0.0971,-0.121,-0.0243,-0.0243,-0.0354,0.062,-0.0339,-0.051,0.0894,-0.0937,-0.0787,0.1309,0.0306,-0.0951,-0.0734,-0.135,0.1667,0.0052,-0.0649,-0.3825,-0.2498,-0.1052,-0.1124,0.1297,0.1667,0.1727,0.1519,-0.3385,-0.3333,0.2398,-0.37,-0.46,0.0513,0.1813,0.0464,0.0835,0.0359,0.069,0.0599,-0.0426,0.1521,0.3183,0.2583,0.0732,0.1062,0.0793,0.0528,0.041,0.6394,0.7469,0.5105,0.4823,0.4282,0.0932,0.4436,0.0345,0.7773,0.881,0.7429,0.7712,0.7426,0.8484,0.6831,0.6282,0.9001,0.7569,0.6893,0.7929,0.7995,0.8058,0.5688,-0.7336,0.8387,0.7906,0.9083,0.877,0.8019,0.7415,0.8258,0.8258,0.0396,0.0227,0.1889,0.2582,-0.0108,0.0349,0.0002,0.0298,0.1923,0.2032,0.1607,0.1635,0.2207,0.0495,0.1774,0.2324,0.2029,0.349,0.3,0.4013,0.2891,0.1554,0.1909,0.3659,0.2906,0.2387,0.2267,0.2212,0.1585,0.2099,0.2383,0.2881,0.1333,0.1095,0.2909,0.0779,-0.093,0.1666,0.0899,0.1862,0.2031,-0.1585,0.1365,-0.0454,0.1163,0.1495,0.0094,0.1484,0.1875,0.0325,0.0429,0.0339,0.1199,0.1489,0.1509,0.2833,0.1712,0.1384
1.4451,2.8775,1.5893,1.6447,2.014,2.1031,2.4839,1.6304,1.4419,1.0956,1.908,1.4418,1.2303,0.4398,1.3669,0.8947,1.7489,0.6304,0.9115,0.9138,0.7585,1.1954,0.7714,1.5215,1.7746,0.6402,0.7663,1.371,0.8329,0.7449,0.5344,0.299,1.7197,1.0159,0.5708,0.0,0.2354,0.4224,0.5972,0.591,2.0803,1.6356,0.5015,0.0,0.0,1.6659,0.0,0.1862,1.3981,2.4348,1.3501,1.5497,1.1531,1.3312,1.1852,0.8787,2.2289,2.9328,2.8954,1.7938,1.5918,1.5024,1.4826,1.1357,9.9518,13.2888,4.7829,5.5726,5.5827,1.8605,4.4703,1.1179,11.0205,14.887,10.5964,8.4662,12.7108,11.7993,7.5182,8.985,48.7027,13.9658,9.3551,14.3444,12.3057,12.4137,6.5616,0.0926,20.3839,14.2393,34.6081,26.2059,10.046,12.1085,15.6082,21.2062,1.4509,1.3333,1.9444,3.042,0.9602,1.5645,1.001,1.0846,2.6302,2.7259,2.0616,1.7422,2.1356,1.4633,2.1978,2.1371,4.0045,3.8237,4.8786,3.8056,3.7196,2.8087,3.2931,4.064,2.605,2.8275,2.0958,2.8333,2.2515,4.7396,2.2736,2.5283,2.4442,2.2609,1.6921,1.2868,0.8029,1.5156,1.3864,2.9821,1.5214,0.5196,1.4471,0.7453,1.8004,1.663,1.1158,2.4899,1.6,1.2094,1.2212,1.1652,1.4612,2.0367,2.437,3.7597,2.162,1.6018
-0.037,0.2526,0.1514,0.0344,-0.0768,0.075,0.0229,0.0544,0.0744,0.0389,-0.019,0.1439,-0.1037,-0.1638,0.0883,-0.0066,-0.0344,0.0182,-0.0214,-0.0311,-0.1045,0.0333,-0.0877,-0.0979,-0.1969,-0.1162,-0.0307,0.1024,-0.1257,-0.1792,0.0122,-0.1591,0.0732,-0.0771,-0.0174,-0.364,-0.2407,-0.1962,-0.2065,-0.2664,0.0188,0.1396,0.0352,-0.3421,-0.3077,-0.1453,-0.3294,-0.4057,0.0288,0.056,0.0019,0.0639,0.0506,-0.0369,0.0089,0.0263,0.2515,0.3505,0.1082,0.0973,0.1615,0.0137,0.0452,-0.0514,0.6814,0.7175,0.5966,0.4185,0.4541,0.0166,0.4636,0.0112,0.7334,0.8105,0.7874,0.8374,0.7185,0.8566,0.7164,0.6462,0.9109,0.809,0.7631,0.8139,0.8295,0.8227,0.6044,-0.7343,0.8473,0.8225,0.9397,0.8532,0.8199,0.8148,0.8566,0.8242,0.0558,-0.0054,0.1506,0.0714,-0.0836,0.0214,-0.019,0.0226,0.1559,0.1212,0.1125,0.2111,0.2323,0.028,0.2443,0.2239,0.2381,0.3273,0.2725,0.4559,0.3298,0.27,0.2142,0.3556,0.2997,0.3092,0.3147,0.3994,0.1185,0.153,0.3361,0.2705,0.0931,0.1598,0.2307,0.1175,-0.083,0.2211,0.0451,0.1573,0.1848,-0.1578,0.031,-0.01,-0.0257,0.0332,-0.0478,-0.0972,0.0531,-0.0066,0.0155,-0.0122,0.0266,-0.0237,0.1072,0.2039,0.1138,0.1836
0.808,2.713,1.978,1.2074,0.5966,1.4678,1.1671,1.3739,1.3297,1.2,0.9231,1.4631,0.7003,0.4329,1.4476,0.9699,0.8617,1.0509,0.9167,0.8833,0.6722,1.1261,0.6952,0.493,0.4324,0.4797,0.9093,1.3258,0.5542,0.4992,1.0446,0.677,1.2589,0.7455,0.9275,0.0,0.172,0.4887,0.2714,0.4841,1.0532,1.536,1.1109,0.0,0.0,0.6136,0.0,0.2604,1.3089,1.4161,1.0159,1.487,1.2009,0.8374,1.0242,1.0718,2.303,3.0906,1.7394,1.6375,2.1304,1.0933,1.3445,0.8447,4.991,4.6426,3.665,2.4891,2.3622,1.1144,3.4075,1.0376,6.2558,11.3747,6.6695,9.0599,4.9191,15.1345,5.7391,3.9436,50.1868,8.8201,5.9311,10.1161,8.7416,9.5012,3.6806,0.2086,12.5792,7.4628,46.1079,10.6692,12.0691,7.9259,11.708,7.0989,1.7818,0.9184,1.8605,1.5,0.6828,1.3846,0.9043,1.0753,1.903,1.5714,1.3978,1.8483,1.8491,1.1836,2.1291,2.1832,2.25,2.1037,2.9572,3.6016,1.9204,1.9871,1.6561,2.6824,2.1834,2.5741,2.0304,2.2625,1.2971,1.5497,2.1227,1.7618,1.2745,1.4187,1.5265,1.3251,0.8027,1.7925,1.0982,1.568,1.478,0.5068,1.1083,0.963,0.9239,1.1832,0.8018,0.6842,1.2113,0.95,1.0898,0.9404,1.1069,0.8954,1.4047,1.9174,1.2387,1.9178
0.04,0.1773,0.0728,0.0751,0.0822,0.1175,0.1198,0.0801,0.0644,0.0126,0.1152,0.0567,0.0118,-0.0085,0.0497,-0.0022,0.09,-0.0617,0.0006,-0.0042,-0.048,0.0087,-0.0413,0.0253,0.0621,-0.0209,-0.0391,0.0164,-0.0381,-0.0612,-0.0783,-0.1861,0.1163,-0.0094,-0.0621,-0.0821,-0.0886,-0.1201,-0.0837,-0.144,0.117,-0.0446,-0.0616,-0.097,-0.1134,-0.1021,-0.1369,-0.3339,0.0464,0.1052,0.0424,0.0089,0.036,0.0615,0.0499,-0.0249,0.1726,0.2867,0.1893,0.0785,0.0581,0.0755,0.0168,0.0173,0.7348,0.8017,0.5889,0.5364,0.5495,0.0816,0.4708,0.0259,0.7825,0.8482,0.8115,0.8325,0.8106,0.8494,0.7213,0.7424,0.8443,0.8351,0.7607,0.8247,0.8472,0.8533,0.654,-0.8153,0.8796,0.883,0.8689,0.8898,0.8074,0.8011,0.8544,0.8931,0.0022,0.0172,0.1026,0.0867,-0.008,0.0073,-0.0008,-0.0036,0.2001,0.194,0.1711,0.1598,0.2298,0.0458,0.1893,0.1724,0.1938,0.373,0.2726,0.343,0.3983,0.232,0.2498,0.3598,0.2588,0.1484,0.2617,0.3462,0.1983,0.2505,0.2732,0.3317,0.1388,0.1655,0.2094,0.0911,-0.0245,0.1047,0.0897,0.1341,0.0106,0.0018,0.0303,-0.0486,0.1139,0.0455,0.0062,0.1246,0.0393,0.0088,-0.004,0.026,0.0739,0.1291,0.1673,0.2974,0.2201,0.0633
0.0001,0.0001,0.0001,0.0,0.0,0.0002,0.0,0.0001,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0005,0.0,0.0,0.0,0.0002,0.0001,0.0001,0.0,0.0002,0.0001,0.0,0.0001,0.0,0.0,0.0003,0.0004,0.0003,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0005,0.0,0.0,0.0,0.0005,0.0001,0.0,0.0005,0.0001,0.0006,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0002,0.0003,0.0,0.0001,0.0,0.0003,0.0,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0005,0.0001,0.0,0.0001,0.0001,0.0,0.0011,0.0004,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0002,0.0007,0.0,0.0,0.0002,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0006,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0004,0.0002,0.0,0.0,0.0,0.0
0.8175,0.8329,0.8256,0.8293,0.8625,0.8689,0.8661,0.8451,0.8409,0.8652,0.8411,0.8312,0.8303,0.8339,0.8677,0.8471,0.8243,0.8295,0.8377,0.8077,0.8129,0.7964,0.8128,0.9128,0.8353,0.8263,0.834,0.8221,0.8095,0.8073,0.8133,0.8127,0.8203,0.8307,0.8327,0.8199,0.8225,0.8155,0.7859,0.7823,0.8552,0.8393,0.8519,0.8592,0.8183,0.8212,0.8173,0.7404,0.8292,0.83,0.8256,0.7863,0.7173,0.7437,0.6647,0.6637,0.8255,0.8089,0.8524,0.8527,0.8027,0.7947,0.8348,0.6817,0.8521,0.8764,0.8221,0.8296,0.8233,0.8479,0.7899,0.6787,0.8636,0.8817,0.8747,0.8843,0.8825,0.8793,0.8644,0.8541,0.8977,0.8856,0.8789,0.8943,0.9024,0.8929,0.8417,0.874,0.9087,0.9067,0.9012,0.9147,0.8756,0.886,0.9031,0.9135,0.8319,0.8788,0.8004,0.8115,0.6993,0.8713,0.7459,0.6399,0.8003,0.8203,0.8211,0.7581,0.7565,0.8373,0.8079,0.8252,0.8849,0.8663,0.8975,0.8591,0.8347,0.8503,0.8739,0.87,0.8549,0.9044,0.7881,0.8329,0.7921,0.9081,0.8096,0.7855,0.8792,0.8707,0.7669,0.7641,0.7751,0.8312,0.7948,0.9045,0.7845,0.8355,0.862,0.7833,0.8051,0.8771,0.8775,0.8592,0.8419,0.8528,0.8171,0.7473,0.7851,0.8147,0.834,0.8328,0.7945,0.8624
84.0,84.0,84.0,84.0,85.0,85.0,85.0,85.0,83.0,84.0,85.0,86.0,87.0,82.0,86.0,86.0,84.0,86.0,85.0,87.0,86.0,88.0,85.0,85.0,87.0,86.0,85.0,87.0,85.0,86.0,86.0,84.0,85.0,86.0,86.0,86.0,85.0,85.0,85.0,85.0,85.0,87.0,87.0,84.0,86.0,88.0,84.0,85.0,84.0,88.0,88.0,85.0,79.0,75.0,61.0,62.0,84.0,83.0,87.0,88.0,85.0,86.0,84.0,62.0,67.0,62.0,74.0,78.0,75.0,89.0,76.0,71.0,68.0,67.0,64.0,60.0,66.0,58.0,68.0,62.0,67.0,63.0,68.0,67.0,64.0,61.0,74.0,47.0,66.0,62.0,65.0,62.0,67.0,65.0,57.0,55.0,72.0,69.0,89.0,79.0,87.0,75.0,87.0,65.0,72.0,84.0,83.0,74.0,73.0,70.0,82.0,79.0,76.0,85.0,83.0,78.0,87.0,73.0,86.0,86.0,85.0,71.0,73.0,86.0,74.0,89.0,68.0,76.0,79.0,89.0,78.0,77.0,77.0,87.0,73.0,74.0,77.0,85.0,74.0,77.0,81.0,87.0,80.0,90.0,92.0,87.0,79.0,84.0,71.0,84.0,80.0,82.0,84.0,71.0
