diabetes_distcorrgan_50_02,diabetes_distcorrgan_50_04,diabetes_distcorrgan_50_06,diabetes_distcorrgan_50_08,diabetes_distcorrgan_50_1,diabetes_distcorrgan_50_15,diabetes_distcorrgan_50_2,diabetes_distcorrgan_50_5,diabetes_distcorrgan_100_02,diabetes_distcorrgan_100_04,diabetes_distcorrgan_100_06,diabetes_distcorrgan_100_08,diabetes_distcorrgan_100_1,diabetes_distcorrgan_100_15,diabetes_distcorrgan_100_2,diabetes_distcorrgan_100_5,diabetes_distcorrgan_150_02,diabetes_distcorrgan_150_04,diabetes_distcorrgan_150_06,diabetes_distcorrgan_150_08,diabetes_distcorrgan_150_1,diabetes_distcorrgan_150_15,diabetes_distcorrgan_150_2,diabetes_distcorrgan_150_5,diabetes_distcorrgan_200_02,diabetes_distcorrgan_200_04,diabetes_distcorrgan_200_06,diabetes_distcorrgan_200_08,diabetes_distcorrgan_200_1,diabetes_distcorrgan_200_15,diabetes_distcorrgan_200_2,diabetes_distcorrgan_200_5,diabetes_distcorrgan_250_02,diabetes_distcorrgan_250_04,diabetes_distcorrgan_250_06,diabetes_distcorrgan_250_08,diabetes_distcorrgan_250_1,diabetes_distcorrgan_250_15,diabetes_distcorrgan_250_2,diabetes_distcorrgan_250_5,diabetes_distcorrgan_300_02,diabetes_distcorrgan_300_04,diabetes_distcorrgan_300_06,diabetes_distcorrgan_300_08,diabetes_distcorrgan_300_1,diabetes_distcorrgan_300_15,diabetes_distcorrgan_300_2,diabetes_distcorrgan_300_5
0.0206,0.0417,-0.0458,0.0047,-0.0025,-0.0204,0.0429,-0.024,-0.0328,-0.0088,-0.0233,0.0347,0.0477,-0.0624,-0.003,0.0099,-0.0014,-0.005,0.073,0.0503,0.0466,0.0272,-0.0036,-0.026,0.0336,-0.0384,0.0664,0.0465,-0.0012,0.0405,0.0154,-0.009,-0.021,0.0116,0.0881,-0.0282,0.0454,0.0505,0.0609,0.0166,0.0319,0.0513,0.0393,-0.0168,0.1309,0.086,0.0225,-0.0198
0.0217,0.0568,-0.0432,-0.0012,0.0034,-0.0067,0.0373,-0.0228,-0.036,-0.0114,-0.0279,0.0363,0.0447,-0.0412,0.0059,0.0159,-0.0022,-0.0051,0.0725,0.0484,0.04,0.0265,-0.0097,-0.0248,0.031,-0.0396,0.0616,0.0502,-0.0067,0.0399,0.0377,-0.0052,-0.016,0.013,0.088,-0.0254,0.0515,0.0463,0.0605,0.0105,0.0304,0.0486,0.0357,-0.0101,0.1277,0.0836,0.0136,-0.0205
1.0424,1.1123,0.9155,0.9977,1.0069,0.9866,1.0752,0.9561,0.9349,0.9804,0.9492,1.066,1.085,0.9267,1.0114,1.032,0.9962,0.9914,1.1351,1.0881,1.0753,1.0478,0.983,0.9553,1.0582,0.9293,1.116,1.097,0.9886,1.0774,1.0696,0.9908,0.9711,1.0229,1.1692,0.9563,1.0923,1.086,1.1093,1.0195,1.0579,1.0956,1.0654,0.9822,1.2662,1.1615,1.0247,0.9628
1.5483,1.8208,1.2352,1.1995,1.1985,1.1424,1.052,1.0891,1.6902,3.0134,2.7158,2.2569,2.273,2.5635,1.2486,1.0021,10.1061,6.1222,7.139,2.766,5.9567,1.9249,5.2972,5.284,9.8804,8.7109,11.6158,11.2393,10.5108,12.4422,10.79,2.512,13.0382,14.1987,17.4011,12.7086,14.6005,18.8815,0.0776,10.7634,30.1102,24.0651,15.643,18.3984,14.4426,19.3484,21.7148,13.8086
0.1253,0.1745,-0.0435,0.03,0.041,0.0346,0.0696,0.0559,0.1133,0.2883,0.2405,0.1815,0.2033,0.1575,0.062,0.0201,0.6501,0.5179,0.6681,0.2159,0.4859,0.1382,0.4421,0.6394,0.7482,0.7583,0.7313,0.7764,0.6447,0.7616,0.7236,0.2454,0.7763,0.7254,0.8315,0.7421,0.7016,0.8147,-0.7905,0.7619,0.8611,0.8799,0.7678,0.7991,0.9208,0.8699,0.7971,0.8103
1.6579,2.7769,1.3319,1.202,1.2454,1.1577,1.2266,1.1413,1.8012,3.1343,2.8326,2.0844,2.3214,2.7343,1.2655,1.0568,9.903,5.8354,6.0007,2.2537,5.3137,1.7798,5.3312,5.4199,8.9388,8.9092,10.048,10.1354,9.8641,11.4538,9.842,2.4771,13.0201,13.0074,14.0,13.0116,12.4979,16.9252,0.07,10.3542,29.2549,21.6712,13.9844,18.8818,36.9107,15.8311,20.9478,14.188
0.0945,0.0662,-0.0311,0.0289,-0.0333,0.0209,0.0648,-0.0483,0.0588,0.1967,0.2718,0.1725,0.1544,0.0642,-0.0235,0.0574,0.6874,0.6269,0.6787,0.3722,0.5649,0.1685,0.4993,0.6656,0.8351,0.8033,0.7398,0.7405,0.7549,0.7573,0.7341,0.3024,0.8046,0.8189,0.8636,0.7389,0.7643,0.8255,-0.7091,0.8033,0.8081,0.8835,0.8299,0.7767,0.9292,0.9018,0.801,0.8052
1.65,1.7225,0.7566,1.2532,0.8333,1.0948,1.2451,0.8923,1.2748,1.7008,2.3211,1.92,2.0386,1.4004,0.8976,1.1602,4.4775,3.7375,4.7666,3.9118,5.4063,1.8929,3.0639,4.3757,10.29,8.0833,7.1653,7.6641,5.4218,7.9238,6.0051,2.1581,7.8393,7.2438,15.681,5.0638,6.4456,7.9341,0.257,7.0692,7.0606,16.9029,8.4695,5.3689,54.8929,13.0242,7.0879,6.9382
0.0922,0.0714,0.0309,0.0295,0.0364,0.0313,0.0162,0.0367,0.1075,0.3219,0.2469,0.1392,0.1379,0.1565,0.0516,0.0007,0.7678,0.6409,0.6939,0.1796,0.4915,0.1115,0.5099,0.6774,0.7983,0.789,0.7568,0.7861,0.7878,0.7733,0.7786,0.2837,0.8387,0.8466,0.8492,0.8327,0.7839,0.8763,-0.8788,0.8278,0.9012,0.889,0.8448,0.8958,0.8673,0.8983,0.8835,0.8588
0.0,0.0001,0.0,0.0,0.0005,0.0,0.0,0.0004,0.0,0.0003,0.0004,0.0,0.0,0.0001,0.0004,0.0001,0.0001,0.0007,0.0,0.0005,0.0003,0.0,0.0006,0.0003,0.0004,0.0005,0.0,0.0001,0.0005,0.0,0.0,0.0003,0.0001,0.0003,0.0,0.0,0.0002,0.0,0.0,0.0001,0.0,0.0,0.0002,0.0,0.0001,0.0001,0.0,0.0001
0.7947,0.8736,0.8269,0.8101,0.7723,0.7392,0.6699,0.6187,0.8043,0.8076,0.7892,0.8463,0.8556,0.8587,0.7379,0.6732,0.8676,0.8344,0.8335,0.8577,0.8308,0.844,0.7975,0.814,0.8621,0.8651,0.8789,0.8643,0.8583,0.8737,0.8653,0.7511,0.8832,0.8819,0.9056,0.8903,0.8828,0.8957,0.9147,0.8791,0.9188,0.9095,0.8937,0.9128,0.9021,0.9153,0.9047,0.9007
87.0,92.0,87.0,87.0,82.0,77.0,66.0,52.0,86.0,82.0,81.0,87.0,91.0,87.0,84.0,65.0,68.0,70.0,65.0,87.0,79.0,88.0,70.0,60.0,66.0,63.0,70.0,70.0,66.0,63.0,63.0,72.0,65.0,63.0,66.0,62.0,66.0,57.0,52.0,53.0,65.0,62.0,62.0,58.0,60.0,54.0,59.0,59.0
